veh.pt_type.ConventionalVehicle.fc.history.i,veh.pt_type.ConventionalVehicle.fc.history.pwr_out_max_watts,veh.pt_type.ConventionalVehicle.fc.history.pwr_prop_max_watts,veh.pt_type.ConventionalVehicle.fc.history.eff,veh.pt_type.ConventionalVehicle.fc.history.pwr_propulsion_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_propulsion_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_aux_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_aux_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_fuel_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_fuel_joules,veh.pt_type.ConventionalVehicle.fc.history.pwr_loss_watts,veh.pt_type.ConventionalVehicle.fc.history.energy_loss_joules,veh.pt_type.ConventionalVehicle.fc.history.fc_on,veh.pt_type.ConventionalVehicle.fc.history.time_on_seconds,veh.pt_type.ConventionalVehicle.transmission.history.i,veh.pt_type.ConventionalVehicle.transmission.history.eff,veh.pt_type.ConventionalVehicle.transmission.history.pwr_out_watts,veh.pt_type.ConventionalVehicle.transmission.history.pwr_in_watts,veh.pt_type.ConventionalVehicle.transmission.history.pwr_loss_watts,veh.pt_type.ConventionalVehicle.transmission.history.energy_out_joules,veh.pt_type.ConventionalVehicle.transmission.history.energy_loss_joules,veh.history.i,veh.history.pwr_prop_fwd_max_watts,veh.history.pwr_prop_bwd_max_watts,veh.history.pwr_tractive_watts,veh.history.pwr_tractive_for_cyc_watts,veh.history.energy_tractive_joules,veh.history.pwr_aux_watts,veh.history.energy_aux_joules,veh.history.pwr_drag_watts,veh.history.energy_drag_joules,veh.history.pwr_accel_watts,veh.history.energy_accel_joules,veh.history.pwr_ascent_watts,veh.history.energy_ascent_joules,veh.history.pwr_rr_watts,veh.history.energy_rr_joules,veh.history.pwr_whl_inertia_watts,veh.history.energy_whl_inertia_joules,veh.history.pwr_brake_watts,veh.history.energy_brake_joules,veh.history.cyc_met,veh.history.cyc_met_overall,veh.history.speed_ach_meters_per_second,veh.history.dist_meters,veh.history.grade_curr,veh.history.air_density_kilograms_per_cubic_meter,veh.history.mass_kilograms,cyc.time_seconds,cyc.speed_meters_per_second,cyc.dist_meters,cyc.grade,cyc.elev_meters,cyc.pwr_max_chrg_watts
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,0.0,0.0,0.0,0.0,121.92,0.0
1,21750.0,21050.0,0.12,0.0,0.0,700.0,700.0,5833.333333333334,5833.333333333334,5833.333333333334,5833.333333333334,true,1.0,1,0.875,0.0,0.0,0.0,0.0,0.0,1,21050.0,0.0,0.0,0.0,0.0,700.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,1.0,0.0,0.0,0.0,121.92,0.0
2,22450.0,21750.0,0.12,0.0,0.0,700.0,1400.0,5833.333333333334,11666.666666666668,5833.333333333334,11666.666666666668,true,2.0,2,0.875,0.0,0.0,0.0,0.0,0.0,2,21750.0,0.0,0.0,0.0,0.0,700.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,2.0,0.0,0.0,0.0,121.92,0.0
3,22450.0,21750.0,0.12,0.0,0.0,700.0,2100.0,5833.333333333334,17500.0,5833.333333333334,17500.0,true,3.0,3,0.875,0.0,0.0,0.0,0.0,0.0,3,21750.0,0.0,0.0,0.0,0.0,700.0,2100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,3.0,0.0,0.0,0.0,121.92,0.0
4,22450.0,21750.0,0.12,0.0,0.0,700.0,2800.0,5833.333333333334,23333.333333333336,5833.333333333334,23333.333333333336,true,4.0,4,0.875,0.0,0.0,0.0,0.0,0.0,4,21750.0,0.0,0.0,0.0,0.0,700.0,2800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,4.0,0.0,0.0,0.0,121.92,0.0
5,22450.0,21750.0,0.12,0.0,0.0,700.0,3500.0,5833.333333333334,29166.66666666667,5833.333333333334,29166.66666666667,true,5.0,5,0.875,0.0,0.0,0.0,0.0,0.0,5,21750.0,0.0,0.0,0.0,0.0,700.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,5.0,0.0,0.0,0.0,121.92,0.0
6,22450.0,21750.0,0.12,0.0,0.0,700.0,4200.0,5833.333333333334,35000.00000000001,5833.333333333334,35000.00000000001,true,6.0,6,0.875,0.0,0.0,0.0,0.0,0.0,6,21750.0,0.0,0.0,0.0,0.0,700.0,4200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,6.0,0.0,0.0,0.0,121.92,0.0
7,22450.0,21750.0,0.12,0.0,0.0,700.0,4900.0,5833.333333333334,40833.33333333334,5833.333333333334,40833.33333333334,true,7.0,7,0.875,0.0,0.0,0.0,0.0,0.0,7,21750.0,0.0,0.0,0.0,0.0,700.0,4900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,7.0,0.0,0.0,0.0,121.92,0.0
8,22450.0,21750.0,0.12,0.0,0.0,700.0,5600.0,5833.333333333334,46666.66666666668,5833.333333333334,46666.66666666668,true,8.0,8,0.875,0.0,0.0,0.0,0.0,0.0,8,21750.0,0.0,0.0,0.0,0.0,700.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,8.0,0.0,0.0,0.0,121.92,0.0
9,22450.0,21750.0,0.12,0.0,0.0,700.0,6300.0,5833.333333333334,52500.000000000015,5833.333333333334,52500.000000000015,true,9.0,9,0.875,0.0,0.0,0.0,0.0,0.0,9,21750.0,0.0,0.0,0.0,0.0,700.0,6300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,true,true,0.0,0.0,0.0,1.2,1644.2724500334996,9.0,0.0,0.0,0.0,121.92,0.0
